"Item","Description","Qty","Value","Sold Value"
"كرسي الحرمين","PRODUCTION","50","12 500,00D A","12 500,00D A"
"السلطان","keyassa","200 000","130 000,00D A","130 000,00D A"
"YL","INK DTF","7","0,00D A","0,00D A"
"XXXL","JOURNAL SATIN","10","5 000,00D A","5 000,00D A"
"XXL 3","JOURNAL POLYAMIDE","150","75 000,00D A","75 000,00D A"
"XXL","JOURNAL SATIN","20","10 000,00D A","10 000,00D A"
"XL 3","JOURNAL POLYAMIDE","225","100 000,00D A","100 000,00D A"
"XL 2.5","JOURNAL SATIN","80","28 000,00D A","28 000,00D A"
"XL","JOURNAL SATIN","20","10 000,00D A","10 000,00D A"
"WILSON 24","PRODUCTION","101","23 230,00D A","23 230,00D A"
"W","INK DTF","33","0,00D A","0,00D A"
"VOLKSWAGEN 12","PRODUCTION","102","24 480,00D A","24 480,00D A"
"VICTORIA S SECRET 14","PRODUCTION","150","0,00D A","0,00D A"
"USMH 70","PRODUCTION","63","0,00D A","0,00D A"
"USMH 40","PRODUCTION","153","36 720,00D A","36 720,00D A"
"U S M H","PRODUCTION","32","0,00D A","0,00D A"
"TRINGLE 144","PRODUCTION","200","48 000,00D A","48 000,00D A"
"TOMMY 56","PRODUCTION","102","0,00D A","0,00D A"
"TOMMY 50X35","PRODUCTION","388","0,00D A","0,00D A"
"TOMMY 36","PRODUCTION","112","0,00D A","0,00D A"
"TIKI ONE STEPUP","CHINE","10","0,00D A","0,00D A"
"TIGER 90","PRODUCTION","401","0,00D A","0,00D A"
"TIGER 60","PRODUCTION","1 081","0,00D A","0,00D A"
"TIGER","PRODUCTION","150","0,00D A","0,00D A"
"TAPIS 40 60","TAPIS POUR PRESS","10","0,00D A","0,00D A"
"TAPIS 38 38","TAPIA POUR PRESS","10","0,00D A","0,00D A"
"TACHA 7 /TRI","PRODUCTION","125","15 625,00D A","15 625,00D A"
"TABLE","CHINE","3","0,00D A","0,00D A"
"T XXL","POLYAMIDE","60","0,00D A","0,00D A"
"T XL","POLYAMIDE","93","0,00D A","0,00D A"
"T S","POLYAMIDE","43","0,00D A","0,00D A"
"T M","POLYAMIDE","20","0,00D A","0,00D A"
"T L","POLYAMIDE","120","0,00D A","0,00D A"
"T 8 BLANC","PRESSION","80","76 000,00D A","76 000,00D A"
"T 8","POLYAMIDE","169","0,00D A","0,00D A"
"T 6","POLYAMIDE","101","0,00D A","0,00D A"
"T 5","POLYAMIDE","48","0,00D A","0,00D A"
"T 48","POLYAMIDE","38","0,00D A","0,00D A"
"T 46","POLYAMIDE","32","0,00D A","0,00D A"
"T 44","POLYAMIDE","32","0,00D A","0,00D A"
"T 42","POLYAMIDE","62","0,00D A","0,00D A"
"T 40","POLYAMIDE","32","0,00D A","0,00D A"
"T 4","POLYAMIDE","103","0,00D A","0,00D A"
"T 38","POLYAMIDE","50","0,00D A","0,00D A"
"T 3","POLYAMIDE","98","0,00D A","0,00D A"
"T 2","POLYAMIDE","230","0,00D A","0,00D A"
"T 16","POLYAMIDE","21 729","0,00D A","0,00D A"
"T 14","POLYAMIDE","21 711","0,00D A","0,00D A"
"T 12 ","SATIN 80M","21 600","0,00D A","0,00D A"
"T 12","POLYAMIDE","152","0,00D A","0,00D A"
"T 10","POLYAMIDE","179","0,00D A","0,00D A"
"T 1","POLYAMIDE","100","0,00D A","0,00D A"
"STYLE #","COMMANDE","300","102 000,00D A","102 000,00D A"
"SPOTIFY","PRODUCTION","200","0,00D A","0,00D A"
"SPOTIFIX","PRODUCTION","100","24 000,00D A","24 000,00D A"
"SPORT","PRODUCTION","200","0,00D A","0,00D A"
"SOUKOY 9","PRODUCTION","100","17 000,00D A","17 000,00D A"
"SONATRACH","PRODUCTION","200","0,00D A","0,00D A"
"SONATRAC","PRODUCTION","2 159","0,00D A","0,00D A"
"SOFIA KIDS","COMMANDE","20","17,00D A","17,00D A"
"SIDAL","PRODUCTION","301","36 240,00D A","36 240,00D A"
"SEAT 12","PRODUCTION","102","24 480,00D A","24 480,00D A"
"SCOTSH","MATIER PR","2","0,00D A","0,00D A"
"S","JOURNAL SATIN","20","10 000,00D A","10 000,00D A"
"ROI CLASSIC","COMMANDE","115 051","46 750,00D A","46 750,00D A"
"RIBON","CHINE","50","0,00D A","0,00D A"
"RENAULT","PRODUCTION","100","24 000,00D A","24 000,00D A"
"RELOU CARBON","CHINE","40","0,00D A","0,00D A"
"RECORDMAN 3.5","COMMANDE","20","0,00D A","0,00D A"
"REBON TERMIQUE","CHINE","72","0,00D A","0,00D A"
"QATAR 8","PRODUCTION","800","0,00D A","0,00D A"
"PUMA3 ADIDAS3","PRODUCTION","100","15 000,00D A","15 000,00D A"
"PUMA 90","PRODUCTION","200","0,00D A","0,00D A"
"PUMA 40","PRODUCTION","985","0,00D A","0,00D A"
"PUMA 14","PRODUCTION","200","0,00D A","0,00D A"
"puma","JOURNAL SATIN","30","0,00D A","0,00D A"
"PRESSE NOIR","PRESSE NOIR","15","0,00D A","0,00D A"
"POUDRE","POUDRE DTF","4","0,00D A","0,00D A"
"POUDE","POUDE A COL","1","0,00D A","0,00D A"
"PISTOLE ATTACHE","PISTOLE ATTACHE","100","0,00D A","0,00D A"
"PERLANTA","COMMANDE","70 000","0,00D A","0,00D A"
"PBV","PRESSE VERT","40","28 800,00D A","28 800,00D A"
"PAPILLON DRESS","COMMANDE","40 030","0,00D A","0,00D A"
"P14","PAPIEE","30","0,00D A","0,00D A"
"P XXXL","PAPIEE","30","0,00D A","0,00D A"
"P XXL","PAPIEE","30","0,00D A","0,00D A"
"P XL","PAPIEE","40","0,00D A","0,00D A"
"P S","PAPIEE","30","0,00D A","0,00D A"
"P M","PAPIEE","30","0,00D A","0,00D A"
"P L","PAPIEE","40","0,00D A","0,00D A"
"P 6","PAPIEE","30","0,00D A","0,00D A"
"P 4","PAPIEE","30","0,00D A","0,00D A"
"P 3","PAPIEE","10","0,00D A","0,00D A"
"P 2","PAPIEE","41","0,00D A","0,00D A"
"P 16","PAPIEE","37","0,00D A","0,00D A"
"P 12","PAPIEE","10","0,00D A","0,00D A"
"P 10","PAPIEE","20","0,00D A","0,00D A"
"P 1","PAPIEE","30","0,00D A","0,00D A"
"OOREDOO","PRODUCTION","403","48 720,00D A","48 720,00D A"
"NONE BLANC","CHINE","4","0,00D A","0,00D A"
"NIVEA BL","COMMANDE","8 000","88 000,00D A","88 000,00D A"
"NIVEA 48","PRODUCTION","100","12 500,00D A","12 500,00D A"
"NIVEA 30","PRODUCTION","100","12 500,00D A","12 500,00D A"
"NIKE TACHA PM","PRODUCTION","40","0,00D A","0,00D A"
"NIKE 3","JOURNAL POLYAMIDE","30","0,00D A","0,00D A"
"NIKE 156","PRODUCTION","100","24 000,00D A","24 000,00D A"
"NIKE 12","PRODUCTION","200","0,00D A","0,00D A"
"NIKE 104","PRODUCTION","100","0,00D A","0,00D A"
"NIKE 10","PRODUCTION","100","12 500,00D A","12 500,00D A"
"NIKE","JOURNAL SATIN","70","35 000,00D A","35 000,00D A"
"N 10 JSK 4","PRODUCTION","2 550","0,00D A","0,00D A"
"MULTI-MARCK 55","PRODUCTION","977","0,00D A","0,00D A"
"MULTI MARCK 4","PRODUCTION","510","0,00D A","0,00D A"
"MOULE LILAS","COMMANDE","2","3 500,00D A","3 500,00D A"
"MOULE LACOSTE","MOULE","1","2 000,00D A","2 000,00D A"
"MOULE DJOUMANA","COMMANDE","8","12 000,00D A","12 000,00D A"
"MOULE BMS","MOULE BMS","3","6 000,00D A","6 000,00D A"
"MOULE APPEL","MOULE TICKER","7","13 500,00D A","13 500,00D A"
"MOULE ALO","MOULE","1","2 000,00D A","2 000,00D A"
