"Item","Description","Qty"
"BEST FASHION","COMMANDE","200 000"
"LILAS","COMMANDE","165 600"
"ROI CLASSIC","COMMANDE","115 051"
"PERLANTA","COMMANDE","70 000"
"PAPILLON DRESS","COMMANDE","40 030"
"LACOSTE TAILLE","COMMANDE","30 000"
"NIVEA BL","COMMANDE","8 000"
"ALGERIE 70","PRODUCTION","1 103"
"PUMA 40","PRODUCTION","985"
"QATAR 8","PRODUCTION","800"
"LACOSTE 13","PRODUCTION","600"
"ADIDAS FL 4","PRODUCTION","450"
"TIGER 60","PRODUCTION","447"
"TOMMY 50X35","PRODUCTION","388"
"97085","feuille transfer","316"
"CALIFORNIA 24","PRODUCTION","300"
"M 3","JOURNAL POLYAMIDE","225"
"XL 3","JOURNAL POLYAMIDE","225"
"GUCCI  22","PRODUCTION","222"
"86030","FEUILLE","210"
"T 2","POLYAMIDE","207"
"SPOTIFY","PRODUCTION","200"
"TRINGLE 144","PRODUCTION","200"
"NIKE 12","PRODUCTION","200"
"PUMA 14","PRODUCTION","200"
"L 3","JOURNAL POLYAMIDE","200"
"ADIDAS 3B 96","PRODUCTION","200"
"ADIDAS 3B 8","PRODUCTION","200"
"86045","FEUILLE","200"
"ADIDAS 55","PRODUCTION","200"
"PUMA 90","PRODUCTION","200"
"85691","FEUILLE","199"
"ALGERIE 48 RONDE","PRODUCTION","199"
"ADIDAS 12","PRODUCTION","184"
"BLANC 3","JOURNAL POLYAMIDE","170"
"LACOSTE 24","PRODUCTION","167"
"T 10","POLYAMIDE","156"
"LACOSTE 28","PRODUCTION","153"
"T 12","POLYAMIDE","152"
"TIGER","PRODUCTION","150"
"VICTORIA S SECRET 14","PRODUCTION","150"
"XXL 3","JOURNAL POLYAMIDE","150"
"GILLETTE 57","PRODUCTION","150"
"T 8","POLYAMIDE","146"
"BEYERN","STOCK RAHIM","145"
"LACOSTE","JOURNAL SATIN","143"
"GOODMAX","PRODUCTION","136"
"MCA 2","PRODUCTION","133"
"T 16","POLYAMIDE","129"
"C 14  F.PLASTIC","PRESSION","125"
"T L","POLYAMIDE","120"
"TOMMY 36","PRODUCTION","112"
"T 14","POLYAMIDE","111"
"97082","feuille transfer","104"
"VOLKSWAGEN 12","PRODUCTION","102"
"SEAT 12","PRODUCTION","102"
"TOMMY 56","PRODUCTION","102"
"106801","FEUILLE CHINE","101"
"T 1","POLYAMIDE","100"
